m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
6,1,36,54,5,False,0.35424868893541106,7,7,55.24372721776257,3.000000000000005,-2.645751311064594,0.3542486889354152,0.0,3.638095238095238
6,2,48,72,5,False,0.20206734806820226,8,7,74.24298306362849,3.0000000000000115,-2.7979326519318093,0.20206734806818671,0.0,4.24468085106383
6,3,60,90,5,False,0.13014495531574433,10,8,93.17428450816305,3.000000000000028,-2.8698550446842837,0.13014495531572545,0.0,4.810169491525424
6,4,72,108,5,False,0.09068708882359156,11,8,112.07898119040624,3.0000000000000075,-2.909312911176416,0.09068708882358928,0.0,5.36150234741784
6,5,84,126,5,False,0.06676365227593317,13,9,130.97101015642758,3.000000000000001,-2.9332363477240677,0.06676365227592695,0.0,5.917383820998279
6,6,96,144,5,False,0.051183605233260376,15,9,149.85598215781252,2.999999999999991,-2.9488163947667307,0.05118360523325334,0.0,6.484210526315789
6,7,108,162,5,False,0.04047799752330272,17,10,168.7365389394762,2.9999999999999982,-2.9595220024766955,0.04047799752331323,0.0,7.063343717549325
6,8,120,180,5,False,0.03280838751848725,19,10,187.61410204975496,2.9999999999999893,-2.967191612481502,0.0328083875184912,0.0,7.653781512605042
6,9,132,198,5,False,0.02712733295587544,21,11,206.48952049329517,2.999999999999993,-2.9728726670441175,0.027127332955877808,0.0,8.253990284524635
6,10,144,216,5,False,0.022802776913116052,23,12,225.36334145662812,3.0000000000000058,-2.9771972230868897,0.02280277691311331,0.0,8.862470862470863
6,11,156,234,5,False,0.019435075408658964,25,13,244.23593739515033,2.999999999999996,-2.980564924591337,0.0194350754086581,0.0,9.477915632754343
6,12,168,252,5,False,0.01676155013928904,27,14,263.10757218045785,2.999999999999993,-2.983238449860704,0.016761550139312596,0.0,10.09923011120616
6,13,180,270,5,False,0.014603811395346167,29,15,281.9784385678761,3.0000000000000058,-2.9853961886046596,0.014603811395347499,0.0,10.725512104283053
6,14,192,288,5,False,0.01283727901996512,31,16,300.8486808555543,3.000000000000004,-2.987162720980039,0.012837279019952642,0.0,11.356020942408376
6,15,204,306,5,False,0.011372823730671833,33,17,319.71840928754983,2.9999999999999893,-2.9886271762693175,0.011372823730668998,0.0,11.990147783251231
6,16,216,324,5,False,0.010145319242271356,35,18,338.5877095671761,2.999999999999993,-2.9898546807577215,0.010145319242272115,0.0,12.627390180878553
6,17,228,342,5,False,0.009106285136332826,37,19,357.45664933531054,2.9999999999999916,-2.9908937148636587,0.009106285136352029,0.0,13.267331323904475
6,18,240,360,5,False,0.008219031683547762,39,20,376.3252826942176,3.000000000000002,-2.9917809683164545,0.00821903168354705,0.0,13.909623430962343
6,19,252,378,5,False,0.007455379630822101,41,21,395.1936534347499,3.0000000000000124,-2.9925446203691903,0.007455379630816721,0.0,14.55397457787896
6,20,264,396,5,False,0.0067933971201008525,43,22,414.061797381758,3.0000000000000075,-2.9932066028799067,0.006793397120116432,0.0,15.200138264777047
6,21,276,414,5,False,0.006215808688721847,45,23,432.92974412692445,2.9999999999999964,-2.9937841913112746,0.006215808688716143,0.0,15.847905138339922
6,22,288,432,5,False,0.00570885759328954,47,24,451.79751832802253,2.999999999999996,-2.9942911424067065,0.00570885759329956,0.0,16.497096399535423
6,23,300,450,5,False,0.0052614796516969875,49,25,470.665140696158,3.000000000000003,-2.994738520348306,0.005261479651690542,0.0,17.147558528428092
6,24,312,468,5,False,0.004864694810539305,51,26,489.53262875505385,3.0000000000000027,-2.9951353051894634,0.0048646948105697686,0.0,17.799159040316596
6,25,324,486,5,False,0.004511153255999378,53,27,508.3999974315322,3.000000000000006,-2.995488846744007,0.004511153255994007,0.0,18.45178305240225
6,26,336,504,5,False,0.004194792785600754,55,28,527.2672595194069,3.000000000000003,-2.9958052072144024,0.004194792785590561,0.0,19.105330490405116
6,27,348,522,5,False,0.003910577332955079,57,29,546.134426047364,3.000000000000002,-2.996089422667047,0.003910577332935455,0.0,19.759713803040842
